Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);CSV Injection
NUH NACİ YAZGAN ÜNİVERSİTESİ;http://www.nny.edu.tr;True;True;16.09.2024 00:00;16.09.2025 23:59;False;False;False;False;False;False;True;True;0;False
ONDOKUZ MAYIS ÜNİVERSİTESİ;http://www.omu.edu.tr/;True;True;27.02.2025 00:00;30.03.2026 23:59;False;False;True;True;False;False;False;True;2;True
ORDU ÜNİVERSİTESİ;http://www.odu.edu.tr;True;True;7.10.2024 08:39;7.10.2025 08:39;False;False;False;False;False;False;True;True;0;True
ORTA DOĞU TEKNİK ÜNİVERSİTESİ;http://www.metu.edu.tr;True;True;8.08.2024 00:00;13.08.2025 23:59;False;False;True;True;False;False;False;True;2;False
OSMANİYE KORKUT ATA ÜNİVERSİTESİ;http://www.osmaniye.edu.tr;True;True;20.12.2024 00:00;19.12.2025 23:59;False;False;False;False;False;False;True;True;0;False
OSTİM TEKNİK ÜNİVERSİTESİ;www.ostimteknik.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
ÖZYEĞİN ÜNİVERSİTESİ;www.ozyegin.edu.tr;True;True;21.10.2024 00:00;21.11.2025 23:59;True;True;True;True;False;False;False;False;4;False
PAMUKKALE ÜNİVERSİTESİ;http://www.pau.edu.tr;True;True;1.04.2025 23:10;30.06.2025 23:10;True;False;False;False;False;False;True;True;1;False
PİRİ REİS ÜNİVERSİTESİ;http://www.pirireis.edu.tr;True;True;7.01.2025 16:49;8.02.2026 16:49;False;False;False;False;False;False;True;True;0;False
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ;erdogan.edu.tr;True;True;30.10.2024 00:00;30.11.2025 23:59;False;False;False;False;False;False;True;True;0;False
SABANCI ÜNİVERSİTESİ;http://www.sabanciuniv.edu;True;True;7.05.2025 10:41;8.06.2026 10:41;True;False;True;True;False;False;False;True;3;False
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;http://www.sbu.edu.tr;True;True;12.12.2024 09:58;13.01.2026 09:58;False;False;False;False;False;False;True;True;0;False
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;www.subu.edu.tr;True;True;24.12.2024 00:00;24.12.2025 23:59;True;False;True;True;False;False;False;True;3;True
SAKARYA ÜNİVERSİTESİ;http://www.sakarya.edu.tr;True;True;23.07.2024 00:00;23.08.2025 23:59;False;False;False;False;False;False;True;True;0;True
SAMSUN ÜNİVERSİTESİ;www.samsun.edu.tr;True;True;10.04.2025 23:03;10.07.2025 00:02;False;False;False;False;False;False;True;True;0;False
SANKO ÜNİVERSİTESİ;http://www.sanko.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
SELÇUK ÜNİVERSİTESİ;http://www.selcuk.edu.tr/;True;True;12.12.2024 00:00;12.01.2026 23:59;False;False;False;False;False;False;True;True;0;True
SİİRT ÜNİVERSİTESİ;http://siirt.edu.tr;True;True;18.03.2025 00:00;18.04.2026 23:59;True;False;False;False;False;False;True;True;1;False
